Match,Date,Fixture,Time,Venue
1,22-03-2025,Kolkata Knight Riders vs Royal Challengers Bengaluru,7:30 PM,Kolkata
2,23-03-2025,Sunrisers Hyderabad vs Rajasthan Royals,3:30 PM,Hyderabad
3,23-03-2025,Chennai Super Kings vs Mumbai Indians,7:30 PM,Chennai
4,24-03-2025,Delhi Capitals vs Lucknow Super Giants,7:30 PM,Visakhapatnam
5,25-03-2025,Gujarat Titans vs Punjab Kings,7:30 PM,Ahmedabad
6,26-03-2025,Rajasthan Royals vs Kolkata Knight Riders,7:30 PM,Guwahati
7,27-03-2025,Sunrisers Hyderabad vs Lucknow Super Giants,7:30 PM,Hyderabad
8,28-03-2025,Chennai Super Kings vs Royal Challengers Bengaluru,7:30 PM,Chennai
9,29-03-2025,Gujarat Titans vs Mumbai Indians,7:30 PM,Ahmedabad
10,30-03-2025,Delhi Capitals vs Sunrisers Hyderabad,3:30 PM,Visakhapatnam
11,30-03-2025,Rajasthan Royals vs Chennai Super Kings,7:30 PM,Guwahati
12,31-03-2025,Mumbai Indians vs Kolkata Knight Riders,7:30 PM,Mumbai
13,01-04-2025,Lucknow Super Giants vs Punjab Kings,7:30 PM,Lucknow
14,02-04-2025,Royal Challengers Bengaluru vs Gujarat Titans,7:30 PM,Bengaluru
15,03-04-2025,Kolkata Knight Riders vs Sunrisers Hyderabad,7:30 PM,Kolkata
16,04-04-2025,Lucknow Super Giants vs Mumbai Indians,7:30 PM,Lucknow
17,05-04-2025,Chennai Super Kings vs Delhi Capitals,3:30 PM,Chennai
18,05-04-2025,Punjab Kings vs Rajasthan Royals,7:30 PM,New Chandigarh
19,06-04-2025,Kolkata Knight Riders vs Lucknow Super Giants,3:30 PM,Kolkata
20,06-04-2025,Sunrisers Hyderabad vs Gujarat Titans,7:30 PM,Hyderabad
21,07-04-2025,Mumbai Indians vs Royal Challengers Bengaluru,7:30 PM,Mumbai
22,08-04-2025,Punjab Kings vs Chennai Super Kings,7:30 PM,New Chandigarh
23,09-04-2025,Gujarat Titans vs Rajasthan Royals,7:30 PM,Ahmedabad
24,10-04-2025,Royal Challengers Bengaluru vs Delhi Capitals,7:30 PM,Bengaluru
25,11-04-2025,Chennai Super Kings vs Kolkata Knight Riders,7:30 PM,Chennai
26,12-04-2025,Lucknow Super Giants vs Gujarat Titans,3:30 PM,Lucknow
27,12-04-2025,Sunrisers Hyderabad vs Punjab Kings,7:30 PM,Hyderabad
28,13-04-2025,Rajasthan Royals vs Royal Challengers Bengaluru,3:30 PM,Jaipur
29,13-04-2025,Delhi Capitals vs Mumbai Indians,7:30 PM,Delhi
30,14-04-2025,Lucknow Super Giants vs Chennai Super Kings,7:30 PM,Lucknow
31,15-04-2025,Punjab Kings vs Kolkata Knight Riders,7:30 PM,New Chandigarh
32,16-04-2025,Delhi Capitals vs Rajasthan Royals,7:30 PM,Delhi
33,17-04-2025,Mumbai Indians vs Sunrisers Hyderabad,7:30 PM,Mumbai
34,18-04-2025,Royal Challengers Bengaluru vs Punjab Kings,7:30 PM,Bengaluru
35,19-04-2025,Gujarat Titans vs Delhi Capitals,3:30 PM,Ahmedabad
36,19-04-2025,Rajasthan Royals vs Lucknow Super Giants,7:30 PM,Jaipur
37,20-04-2025,Punjab Kings vs Royal Challengers Bengaluru,3:30 PM,New Chandigarh
38,20-04-2025,Mumbai Indians vs Chennai Super Kings,7:30 PM,Mumbai
39,21-04-2025,Kolkata Knight Riders vs Gujarat Titans,7:30 PM,Kolkata
40,22-04-2025,Lucknow Super Giants vs Delhi Capitals,7:30 PM,Lucknow
41,23-04-2025,Sunrisers Hyderabad vs Mumbai Indians,7:30 PM,Hyderabad
42,24-04-2025,Royal Challengers Bengaluru vs Rajasthan Royals,7:30 PM,Bengaluru
43,25-04-2025,Chennai Super Kings vs Sunrisers Hyderabad,7:30 PM,Chennai
44,26-04-2025,Kolkata Knight Riders vs Punjab Kings,7:30 PM,Kolkata
45,27-04-2025,Mumbai Indians vs Lucknow Super Giants,3:30 PM,Mumbai
46,27-04-2025,Delhi Capitals vs Royal Challengers Bengaluru,7:30 PM,Delhi
47,28-04-2025,Rajasthan Royals vs Gujarat Titans,7:30 PM,Jaipur
48,29-04-2025,Delhi Capitals vs Kolkata Knight Riders,7:30 PM,Delhi
49,30-04-2025,Chennai Super Kings vs Punjab Kings,7:30 PM,Chennai
50,01-05-2025,Rajasthan Royals vs Mumbai Indians,7:30 PM,Jaipur
51,02-05-2025,Gujarat Titans vs Sunrisers Hyderabad,7:30 PM,Ahmedabad
52,03-05-2025,Royal Challengers Bengaluru vs Chennai Super Kings,7:30 PM,Bengaluru
53,04-05-2025,Kolkata Knight Riders vs Rajasthan Royals,3:30 PM,Kolkata
54,04-05-2025,Punjab Kings vs Lucknow Super Giants,7:30 PM,Dharamsala
55,05-05-2025,Sunrisers Hyderabad vs Delhi Capitals,7:30 PM,Hyderabad
56,06-05-2025,Mumbai Indians vs Gujarat Titans,7:30 PM,Mumbai
57,07-05-2025,Kolkata Knight Riders vs Chennai Super Kings,7:30 PM,Kolkata
58,08-05-2025,Punjab Kings vs Delhi Capitals,7:30 PM,Dharamsala
59,09-05-2025,Lucknow Super Giants vs Royal Challengers Bengaluru,7:30 PM,Lucknow
60,10-05-2025,Sunrisers Hyderabad vs Kolkata Knight Riders,7:30 PM,Hyderabad
61,11-05-2025,Punjab Kings vs Mumbai Indians,3:30 PM,Dharamsala
62,11-05-2025,Delhi Capitals vs Gujarat Titans,7:30 PM,Delhi
63,12-05-2025,Chennai Super Kings vs Rajasthan Royals,7:30 PM,Chennai
64,13-05-2025,Royal Challengers Bengaluru vs Sunrisers Hyderabad,7:30 PM,Bengaluru
65,14-05-2025,Gujarat Titans vs Lucknow Super Giants,7:30 PM,Ahmedabad
66,15-05-2025,Mumbai Indians vs Delhi Capitals,7:30 PM,Mumbai
67,16-05-2025,Rajasthan Royals vs Punjab Kings,7:30 PM,Jaipur
58,17-05-2025,Royal Challengers Bengaluru vs Kolkata Knight Riders,7:30 PM,Bengaluru
59,18-05-2025,Rajasthan Royals vs Punjab Kings,3:30 PM,Jaipur
60,18-05-2025,Delhi Capitals vs Gujarat Titans,7:30 PM,Delhi
61,19-05-2025,Lucknow Super Giants vs Sunrisers Hyderabad,7:30 PM,Lucknow
62,20-05-2025,Chennai Super Kings vs Rajasthan Royals,7:30 PM,Delhi
63,21-05-2025,Mumbai Indians vs Delhi Capitals,7:30 PM,Mumbai
64,22-05-2025,Gujarat Titans vs Lucknow Super Giants,7:30 PM,Ahmedabad
65,23-05-2025,Royal Challengers Bengaluru vs Sunrisers Hyderabad,7:30 PM,Bengaluru
66,24-05-2025,Punjab Kings vs Delhi Capitals,7:30 PM,Jaipur
67,25-05-2025,Sunrisers Hyderabad vs Kolkata Knight Riders,3:30 PM,Delhi
68,25-05-2025,Gujarat Titans vs Chennai Super Kings,7:30 PM,Ahmedabad
69,26-05-2025,Punjab Kings vs Mumbai Indians,7:30 PM,Jaipur
70,27-05-2025,Lucknow Super Giants vs Royal Challengers Bengaluru,7:30 PM,Lucknow
71,29-05-2025,Punjab Kings vs Royal Challengers Bengaluru,7:30 PM,Chandigarh
72,30-05-2025,Gujarat Titans vs Mumbai Indians,7:30 PM,Chandigarh
73,01-06-2025,Punjab Kings vs Mumbai Indians,7:30 PM,Ahmedabad
74,03-06-2025,Royal Challengers Bengaluru vs Punjab Kings,7:30 PM,Ahmedabad
